id,category,task_type,source,language,domain,is_ip,ip_type,novelty_score
IPE_001,patent,knowledge_extraction,technical_report,en,automotive,True,patent,0.87
IPE_002,trade_secret,ip_detection,meeting_minutes,en,pharmaceutical,True,trade_secret,0.91
IPE_003,patent,knowledge_extraction,research_paper,en,software,True,patent,0.84
IPE_004,trademark,ip_detection,technical_report,en,manufacturing,True,trademark,0.72
IPE_005,patent,knowledge_extraction,meeting_minutes,zh,manufacturing,True,patent,0.89
IPE_000001,patent,knowledge_extraction,legal_document,de,aerospace,True,patent,0.824
IPE_000002,patent,relation_extraction,meeting_minutes,en,software,True,patent,0.892
IPE_000003,patent,knowledge_extraction,patent_application,fr,aerospace,True,patent,0.802
IPE_000004,patent,ip_detection,legal_document,ja,aerospace,True,patent,0.933
IPE_000005,patent,entity_recognition,research_paper,ja,automotive,True,patent,0.817
IPE_000006,patent,knowledge_extraction,research_paper,ja,manufacturing,True,patent,0.919
IPE_000007,patent,relation_extraction,technical_report,de,aerospace,True,patent,0.89
IPE_000008,patent,entity_recognition,technical_report,en,energy,True,patent,0.831
IPE_000009,patent,ip_detection,research_paper,ja,aerospace,True,patent,0.764
IPE_000010,patent,knowledge_extraction,meeting_minutes,fr,automotive,True,patent,0.941
IPE_000011,patent,ip_detection,patent_application,zh,energy,True,patent,0.938
IPE_000012,patent,ip_detection,patent_application,es,automotive,True,patent,0.811
IPE_000013,patent,ip_detection,research_paper,en,aerospace,True,patent,0.766
IPE_000014,patent,ip_detection,meeting_minutes,zh,aerospace,True,patent,0.823
IPE_000015,patent,relation_extraction,patent_application,es,pharmaceutical,True,patent,0.927
IPE_000016,patent,relation_extraction,legal_document,es,pharmaceutical,True,patent,0.904
IPE_000017,patent,relation_extraction,patent_application,fr,biotechnology,True,patent,0.86
IPE_000018,patent,entity_recognition,technical_report,fr,software,True,patent,0.892
IPE_000019,patent,knowledge_extraction,research_paper,fr,software,True,patent,0.942
IPE_000020,patent,ip_detection,research_paper,ja,automotive,True,patent,0.921
IPE_000021,patent,relation_extraction,research_paper,en,software,True,patent,0.837
IPE_000022,patent,ip_detection,technical_report,fr,pharmaceutical,True,patent,0.86
IPE_000023,patent,ip_detection,patent_application,zh,manufacturing,True,patent,0.861
IPE_000024,patent,knowledge_extraction,technical_report,en,software,True,patent,0.849
IPE_000025,patent,knowledge_extraction,technical_report,fr,automotive,True,patent,0.814
IPE_000026,patent,relation_extraction,research_paper,ja,pharmaceutical,True,patent,0.854
IPE_000027,patent,relation_extraction,patent_application,fr,biotechnology,True,patent,0.87
IPE_000028,patent,knowledge_extraction,meeting_minutes,fr,biotechnology,True,patent,0.777
IPE_000029,patent,relation_extraction,legal_document,zh,automotive,True,patent,0.811
IPE_000030,patent,knowledge_extraction,patent_application,ja,energy,True,patent,0.802
IPE_000031,patent,entity_recognition,patent_application,en,automotive,True,patent,0.81
IPE_000032,patent,ip_detection,technical_report,zh,energy,True,patent,0.8
IPE_000033,patent,ip_detection,patent_application,es,energy,True,patent,0.919
IPE_000034,patent,ip_detection,research_paper,en,software,True,patent,0.779
IPE_000035,patent,ip_detection,meeting_minutes,de,software,True,patent,0.85
IPE_000036,patent,knowledge_extraction,research_paper,ja,aerospace,True,patent,0.827
IPE_000037,patent,ip_detection,research_paper,de,pharmaceutical,True,patent,0.776
IPE_000038,patent,entity_recognition,technical_report,en,software,True,patent,0.94
IPE_000039,patent,relation_extraction,technical_report,fr,automotive,True,patent,0.862
IPE_000040,patent,ip_detection,research_paper,es,manufacturing,True,patent,0.763
IPE_000041,patent,entity_recognition,patent_application,ja,automotive,True,patent,0.762
IPE_000042,patent,relation_extraction,meeting_minutes,en,energy,True,patent,0.838
IPE_000043,patent,entity_recognition,meeting_minutes,en,aerospace,True,patent,0.871
IPE_000044,patent,knowledge_extraction,research_paper,ja,biotechnology,True,patent,0.927
IPE_000045,patent,entity_recognition,patent_application,zh,aerospace,True,patent,0.755
IPE_000046,patent,knowledge_extraction,patent_application,fr,manufacturing,True,patent,0.77
IPE_000047,patent,entity_recognition,legal_document,zh,energy,True,patent,0.815
IPE_000048,patent,knowledge_extraction,research_paper,fr,aerospace,True,patent,0.919
IPE_000049,patent,ip_detection,meeting_minutes,zh,manufacturing,True,patent,0.763
IPE_000050,patent,knowledge_extraction,research_paper,de,pharmaceutical,True,patent,0.898
IPE_000051,patent,relation_extraction,technical_report,es,automotive,True,patent,0.878
IPE_000052,patent,relation_extraction,research_paper,zh,pharmaceutical,True,patent,0.836
IPE_000053,patent,knowledge_extraction,legal_document,en,energy,True,patent,0.785
IPE_000054,patent,ip_detection,legal_document,fr,biotechnology,True,patent,0.818
IPE_000055,patent,knowledge_extraction,patent_application,es,biotechnology,True,patent,0.862
IPE_000056,patent,ip_detection,legal_document,es,energy,True,patent,0.783
IPE_000057,patent,knowledge_extraction,research_paper,ja,software,True,patent,0.877
IPE_000058,patent,relation_extraction,patent_application,es,automotive,True,patent,0.894
IPE_000059,patent,ip_detection,research_paper,ja,biotechnology,True,patent,0.79
IPE_000060,patent,ip_detection,technical_report,zh,energy,True,patent,0.84
IPE_000061,patent,relation_extraction,research_paper,de,automotive,True,patent,0.817
IPE_000062,patent,ip_detection,research_paper,fr,manufacturing,True,patent,0.899
IPE_000063,patent,ip_detection,research_paper,en,software,True,patent,0.928
IPE_000064,patent,relation_extraction,patent_application,en,energy,True,patent,0.8
IPE_000065,patent,knowledge_extraction,meeting_minutes,es,energy,True,patent,0.778
